,Speaker,Date,Article_Link,Location,Word_Count,Inflation_Mentions,Expectation_Mentions,Resolve_Mentions,Optimism_Mentions,Recession_Mentions,Employment_Mentions,Unemployment_Mentions,Wage_Mentions,Instability_Mentions,Crisis_Mentions,Rate_Mentions,Spread_Mentions,Easing_Mentions,Tightening_Metions,Uncertainty_Mentions,Output_Mentions,Declining_Mentions,Rising_Mentions,Concern_Mentions,Labor_Mentions,Interest_Mentions
21_16,Vice Chairman Stanley Fischer,2016-02-01,https://www.federalreserve.gov/newsevents/speech/fischer20160201a.htm,"At the C. Peter McColough Series on International Economics, Council on Foreign Relations, New York, New York",1569,18,1,0,0,1,9,3,0,0,0,24,0,0,2,0,0,0,0,3,7,4
21_17,Vice Chairman Stanley Fischer,2016-01-03,https://www.federalreserve.gov/newsevents/speech/fischer20160103a.htm,"At the Annual Meeting of the American Economic Association, San Francisco, California",4687,15,0,0,0,2,4,0,0,4,9,80,2,2,0,1,2,1,2,6,0,33
21_18,Vice Chairman Stanley Fischer,2015-12-03,https://www.federalreserve.gov/newsevents/speech/fischer20151203a.htm,"At the ""Financial Stability: Policy Analysis and Data Needs"" 2015 Financial Stability Conference sponsored by the Federal Reserve Bank of Cleveland and the Office of Financial Research, Washington, D.C.",3911,0,0,1,0,1,0,0,0,0,10,14,2,1,1,1,0,0,2,4,0,0
21_19,Chair Janet L. Yellen,2015-12-02,https://www.federalreserve.gov/monetarypolicy.htm,"At the Economic Club of Washington, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,
21_20,Governor Daniel K. Tarullo,2015-12-02,https://www.federalreserve.gov/newsevents/speech/tarullo20151202a.htm,"At the Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting, Arlington, Virginia",739,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0
22_1,Governor Lael Brainard,2015-12-01,https://www.federalreserve.gov/newsevents/speech/brainard20151201a.htm,"At the Stanford Institute for Economic Policy Research, Stanford, California",4359,38,9,0,0,1,11,0,1,0,17,148,0,5,1,4,6,1,1,3,4,27
22_2,Governor Jerome H. Powell,2015-11-20,https://www.federalreserve.gov/newsevents/speech/powell20151120a.htm,"At the 2015 Roundtable on Treasury Markets and Debt Management: Evolution of Treasury Market and Its Implications, New York, New York",1033,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2
22_3,Vice Chairman Stanley Fischer,2015-11-19,https://www.federalreserve.gov/newsevents/speech/fischer20151119a.htm,"At the ""Policy Challenges in a Diverging Global Economy"" 2015 Asia Economic Policy Conference sponsored by the Federal Reserve Bank of San Francisco, San Francisco, California",3967,0,0,0,0,1,0,0,0,0,6,19,0,2,0,1,4,3,1,2,3,2
22_4,Governor Daniel K. Tarullo,2015-11-17,https://www.federalreserve.gov/newsevents/speech/tarullo20151117a.htm,"At the Brookings Institution, Washington, D.C.",4308,0,1,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,1,5,1,0
22_5,Governor Jerome H. Powell,2015-11-17,https://www.federalreserve.gov/newsevents/speech/powell20151117a.htm,"At the Clearing House Annual Conference, New York, New York",3020,0,3,1,0,0,0,0,0,0,5,11,0,0,0,0,0,0,1,1,0,3
22_6,Vice Chairman Stanley Fischer,2015-11-12,https://www.federalreserve.gov/newsevents/speech/fischer20151112a.htm,"At the ""Monetary Policy Implementation and Transmission in the Post-Crisis Period,"" a research conference sponsored by the Board of Governors of the Federal Reserve System, Washington, D.C.",2711,33,2,0,0,0,2,0,0,0,0,24,0,4,0,0,6,0,5,2,2,5
22_7,Chair Janet L. Yellen,2015-11-12,https://www.federalreserve.gov/newsevents/speech/yellen20151112a.htm,"At the ""Monetary Policy Implementation and Transmission in the Post-Crisis Period,"" a research conference sponsored by the Board of Governors of the Federal Reserve System, Washington, D.C.",525,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,1,1
22_8,Governor Lael Brainard,2015-11-06,https://www.federalreserve.gov/newsevents/speech/brainard20151106a.htm,"At the ""Unconventional Monetary and Exchange Rate Policies,"" 16th International Monetary Fund Jacques Polak Research Conference, Washington, D.C.",2948,8,3,0,0,2,4,1,0,0,2,36,3,12,3,1,2,0,0,2,2,7
22_9,Governor Daniel K. Tarullo,2015-11-05,https://www.federalreserve.gov/newsevents/speech/tarullo20151105a.htm,"At ""The Future of Large and Internationally Active Banks"" 18th Annual International Banking Conference, sponsored by the Federal Reserve Bank of Chicago and the World Bank, Chicago, Illinois",5798,0,3,0,0,0,0,0,0,0,20,13,0,3,0,0,0,0,1,7,1,8
22_10,Vice Chairman Stanley Fischer,2015-11-04,https://www.federalreserve.gov/newsevents/speech/fischer20151104a.htm,"At the 2015 Herbert Stein Memorial Lecture National Economists Club, Washington, D.C.",6191,47,6,0,0,4,7,1,0,1,8,26,1,1,0,0,4,0,0,5,0,5
22_11,Chair Janet L. Yellen,2015-10-20,https://www.federalreserve.gov/newsevents/speech/yellen20151020a.htm,"At the Induction of Carroll D. Wright and Janet L. Norwood into the Department of Labor's Hall of Honor, U.S. Department of Labor, Washington, D.C.",787,1,1,1,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,11,0
22_12,Governor Jerome H. Powell,2015-10-20,https://www.federalreserve.gov/newsevents/speech/powell20151020a.htm,"At the Federal Reserve Bank of New York, New York, New York (via prerecorded video)",1691,0,0,0,0,0,0,0,0,0,8,1,0,2,0,0,0,1,0,2,0,2
22_13,Governor Lael Brainard,2015-10-19,https://www.federalreserve.gov/newsevents/speech/brainard20151019a.htm,"At the Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting, Federal Reserve Bank of Chicago, Chicago, Illinois",2107,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,3,1,0
22_14,Governor Lael Brainard,2015-10-12,https://www.federalreserve.gov/newsevents/speech/brainard20151012a.htm,"At the ""North America's Place in a Changing World Economy,"" 57th National Association for Business Economics Annual Meeting, Washington, D.C.",4110,37,8,0,0,6,13,6,6,0,4,53,0,4,6,4,2,1,1,1,15,6
22_15,Vice Chairman Stanley Fischer,2015-10-11,https://www.federalreserve.gov/newsevents/speech/fischer20151011a.htm,"At the Group of Thirty International Banking Seminar, Lima, Peru",1207,10,5,0,0,0,6,3,2,0,1,18,0,1,0,0,0,0,1,1,9,5
22_16,Vice Chairman Stanley Fischer,2015-10-02,https://www.federalreserve.gov/newsevents/speech/fischer20151002a.htm,"At the ""Macroprudential Monetary Policy,"" 59th Economic Conference of the Federal Reserve Bank of Boston, Boston, Massachusetts",4773,1,0,0,0,1,2,0,1,1,19,13,1,2,0,0,1,0,1,1,0,8
22_17,Governor Lael Brainard,2015-09-30,https://www.federalreserve.gov/newsevents/speech/brainard20150930a.htm,"At the Community Banking in the 21st Century, The Third Annual Community Banking Research and Policy Conference, Cosponsored by the Federal Reserve System and Conference of State Bank Supervisors, Federal Reserve Bank of St. Louis, St. Louis, Missouri",4540,0,0,0,0,0,2,0,0,0,3,13,0,3,0,0,0,1,2,3,4,1
22_18,Chair Janet L. Yellen,2015-09-30,https://www.federalreserve.gov/newsevents/speech/yellen20150930a.htm,"At the Community Banking in the 21st Century, The Third Annual Community Banking Research and Policy Conference, Cosponsored by the Federal Reserve System and Conference of State Bank Supervisors, Federal Reserve Bank of St. Louis, St. Louis, Missouri",1163,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,2
22_19,Governor Daniel K. Tarullo,2015-09-28,https://www.federalreserve.gov/monetarypolicy.htm,"At the Banque de France Conference: Financial Regulation--Stability versus Uniformity; A Focus on Non-bank Actors, Paris, France",,,,,,,,,,,,,,,,,,,,,,
22_20,Chair Janet L. Yellen,2015-09-24,https://www.federalreserve.gov/newsevents/speech/yellen20150924a.htm,"At the Philip Gamble Memorial Lecture, University of Massachusetts, Amherst, Amherst, Massachusetts",10580,303,54,0,0,16,45,21,19,0,10,104,0,2,6,1,1,1,8,3,25,19
23_1,Vice Chairman Stanley Fischer,2015-08-29,https://www.federalreserve.gov/newsevents/speech/fischer20150829a.htm,"At the Federal Reserve Bank of Kansas City Economic Symposium, Jackson Hole, Wyoming",2655,74,12,0,0,1,13,8,3,0,0,18,1,0,1,0,0,0,1,1,8,6
23_2,Governor Jerome H. Powell,2015-08-03,https://www.federalreserve.gov/newsevents/speech/powell20150803a.htm,"At the The Brookings Institution, Washington, D.C.",2651,0,1,0,0,0,0,0,0,0,7,8,1,0,0,0,0,0,0,1,0,2
23_3,Chair Janet L. Yellen,2015-07-10,https://www.federalreserve.gov/newsevents/speech/yellen20150710a.htm,"At the City Club of Cleveland, Cleveland, Ohio",4178,29,4,1,0,17,26,8,9,0,1,38,0,1,1,2,7,0,2,1,24,6
23_4,Governor Lael Brainard,2015-07-09,https://www.federalreserve.gov/newsevents/speech/brainard20150709a.htm,"At the ""Dodd-Frank at Five: Looking Back and Looking Forward"" Bipartisan Policy Center and Managed Funds Association, Washington, D.C.",4136,0,1,0,0,0,0,0,0,0,14,13,0,0,0,2,0,0,1,1,0,3
23_5,Governor Lael Brainard,2015-07-01,https://www.federalreserve.gov/newsevents/speech/brainard20150701a.htm,"At the Policy Makers' Panel on Financial Intermediation: Complexities and Risks for ""The Future of Financial Intermediation: Banking, Securities Markets, or Something New?"" Salzburg Global Forum on Finance in a Changing World, Salzburg, Austria",1727,0,0,0,0,0,0,0,0,1,3,7,2,2,0,0,0,0,0,2,0,0
23_6,Vice Chairman Stanley Fischer,2015-06-30,https://www.federalreserve.gov/newsevents/speech/fischer20150630a.htm,"At the Crockett Governors' Roundtable 2015 for African Central Bankers, University of Oxford, Oxford, United Kingdom",3517,30,0,0,1,0,12,4,1,0,2,44,0,3,1,0,1,0,0,2,10,9
23_7,Governor Jerome H. Powell,2015-06-25,https://www.federalreserve.gov/newsevents/speech/powell20150625a.htm,"At the Federal Reserve Bank of Kansas City Conference, ""The Puzzle of Payments Security: Fitting the Pieces Together to Protect the Retail Payments System"", Kansas City, Missouri",3078,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,2,1,2
23_8,Vice Chairman Stanley Fischer,2015-06-24,https://www.federalreserve.gov/newsevents/speech/fischer20150624a.htm,"At the Riksbank Macroprudential Conference, Stockholm, Sweden",1499,0,0,0,0,1,0,0,0,0,5,3,0,1,0,1,0,0,0,0,0,0
23_9,Governor Lael Brainard,2015-06-02,https://www.federalreserve.gov/newsevents/speech/brainard20150602a.htm,"At the Center for Strategic and International Studies, Washington, D.C.",3388,17,6,0,0,3,16,12,2,0,4,44,1,1,2,2,1,2,1,0,19,5
23_10,Vice Chairman Stanley Fischer,2015-06-01,https://www.federalreserve.gov/newsevents/speech/fischer20150601a.htm,"At the International Monetary Conference, Toronto, Canada",3647,8,0,0,0,6,4,0,0,1,35,24,0,1,0,0,5,0,0,1,0,16
23_11,Vice Chairman Stanley Fischer,2015-05-26,https://www.federalreserve.gov/newsevents/speech/fischer20150526a.htm,"At the conference held in honor of Professor Haim Ben-Shahar, former president of Tel Aviv University, Tel Aviv University, Tel Aviv, Israel",4980,6,0,0,0,2,3,0,0,1,10,46,1,9,1,1,1,0,1,2,1,16
23_12,Chair Janet L. Yellen,2015-05-22,https://www.federalreserve.gov/newsevents/speech/yellen20150522a.htm,"At the Providence Chamber of Commerce, Providence, Rhode Island",3711,19,1,0,0,14,16,7,10,0,4,18,0,0,0,2,7,1,1,1,12,2
23_13,Vice Chairman Stanley Fischer,2015-05-21,https://www.federalreserve.gov/newsevents/speech/fischer20150521.htm,"At the ECB Forum on Central Banking conference ""Inflation and Unemployment in Europe"", Sintra, Portugal",3090,2,0,0,0,0,1,1,0,0,27,27,1,0,1,0,0,0,0,0,0,2
23_14,Governor Jerome H. Powell,2015-05-14,https://www.federalreserve.gov/newsevents/speech/powell20150514a.htm,"At the Annual Community Bankers Conference sponsored by the Federal Reserve Bank of New York, New York, New York",2892,0,1,0,0,2,0,0,0,0,4,2,1,0,0,0,0,0,0,5,0,6
23_15,Chair Janet L. Yellen,2015-05-06,https://www.federalreserve.gov/newsevents/speech/yellen20150506a.htm,"At the ""Finance and Society,"" a conference sponsored by Institute for New Economic Thinking, Washington, D.C.",3018,0,1,2,0,0,1,0,1,0,10,4,0,0,0,0,0,0,0,2,0,3
23_16,Governor Daniel K. Tarullo,2015-05-04,https://www.federalreserve.gov/newsevents/speech/tarullo20150504.htm,"At the Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting, Boston, Massachusetts",325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_17,Governor Daniel K. Tarullo,2015-04-30,https://www.federalreserve.gov/newsevents/speech/tarullo20150430a.htm,"At the Independent Community Bankers of America 2015 Washington Policy Summit , Washington, D.C.",4062,0,0,0,0,2,0,0,0,0,4,10,1,3,0,0,0,0,0,5,1,2
23_18,Governor Jerome H. Powell,2015-04-08,https://www.federalreserve.gov/newsevents/speech/powell20150408a.htm,"At the C. Peter McColough Series on International Economics Council on Foreign Relations, New York, New York",2847,21,3,0,0,14,12,9,4,0,11,29,0,0,2,3,20,0,2,1,19,3
23_19,Governor Lael Brainard,2015-04-02,https://www.federalreserve.gov/newsevents/speech/brainard20150402a.htm,"At the ""Economic Mobility: Research and Ideas on Strengthening Families, Communities, and the Economy"" Ninth Biennial Federal Reserve System Community Development Research Conference, Washington, D.C.",4550,4,1,0,1,35,15,8,4,0,12,25,0,1,0,0,0,0,0,1,18,2
23_20,Chair Janet L. Yellen,2015-04-02,https://www.federalreserve.gov/newsevents.htm,"At the ""Economic Mobility: Research and Ideas on Strengthening Families, Communities, and the Economy,"" a community development research conference sponsored by the Federal Reserve System, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,
24_1,Vice Chairman Stanley Fischer,2015-03-30,https://www.federalreserve.gov/newsevents/speech/fischer20150330a.htm,"At the ""Central Banking in the Shadows: Monetary Policy and Financial Stability Postcrisis,"" 20th Annual Financial Markets Conference sponsored by the Federal Reserve Bank of Atlanta, Stone Mountain, Georgia",3271,0,0,1,0,0,0,0,0,1,12,8,1,1,0,0,0,0,1,6,1,1
24_2,Chair Janet L. Yellen,2015-03-27,https://www.federalreserve.gov/newsevents/speech/yellen20150327a.htm,"At the ""The New Normal Monetary Policy,"" a research conference sponsored by the Federal Reserve Bank of San Francisco, San Francisco, California",6313,59,7,0,0,5,33,13,13,0,7,119,0,0,7,5,4,2,5,5,23,19
24_3,Vice Chairman Stanley Fischer,2015-03-27,https://www.federalreserve.gov/newsevents/speech/fischer20150327a.htm,"At the ""Debt and Financial Stability--Regulatory Challenges"" conference, the Bundesbank and the German Ministry of Finance, Frankfurt, Germany",3743,0,0,0,0,0,0,0,0,0,17,6,4,0,0,0,0,0,1,1,0,1
24_4,Vice Chairman Stanley Fischer,2015-03-23,https://www.federalreserve.gov/newsevents/speech/fischer20150323a.htm,"At the Economic Club of New York, New York, New York",5213,11,7,0,0,4,6,4,0,0,18,73,1,6,0,8,2,0,0,0,3,26
24_5,Chair Janet L. Yellen,2015-03-03,https://www.federalreserve.gov/newsevents/speech/yellen20150303a.htm,"At the Citizens Budget Commission, New York , New York",4274,0,2,0,0,1,0,0,0,0,29,10,1,1,0,0,0,0,0,2,1,5
24_6,Vice Chairman Stanley Fischer,2015-02-27,https://www.federalreserve.gov/newsevents/speech/fischer20150227a.htm,"At the 2015 U.S. Monetary Policy Forum, Sponsored by the University of Chicago Booth School of Business, New York, New York",1938,2,1,0,0,0,1,1,0,0,2,25,0,4,1,1,0,0,0,1,1,8
24_7,Governor Jerome H. Powell,2015-02-18,https://www.federalreserve.gov/newsevents/speech/powell20150218a.htm,"At the Stern School of Business, New York University, New York, New York",5018,0,0,0,1,0,0,0,0,1,29,17,3,0,0,1,0,0,0,6,0,5
24_8,Governor Jerome H. Powell,2015-02-09,https://www.federalreserve.gov/newsevents/speech/powell20150209a.htm,"At the Catholic University of America, Columbus School of Law, Washington, D.C.",4220,12,0,0,0,2,4,1,1,0,32,14,0,0,0,1,0,0,0,1,2,7
24_9,Governor Jerome H. Powell,2015-02-04,https://www.federalreserve.gov/newsevents/speech/powell20150204a.htm,"At the Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting, Dallas, Texas",853,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1
24_10,Governor Daniel K. Tarullo,2015-01-30,https://www.federalreserve.gov/newsevents/speech/tarullo20150130a.htm,"At the Office of Financial Research and Financial Stability Oversight Council's 4th Annual Conference on Evaluating Macroprudential Tools: Complementarities and Conflicts, Arlington, Virginia",4427,0,0,1,0,0,0,0,0,0,10,19,0,2,0,1,0,0,0,6,1,3
24_11,Governor Jerome H. Powell,2015-01-20,https://www.federalreserve.gov/newsevents/speech/powell20150120a.htm,"At ""Making Markets Fair and Effective for All,"" Sponsored by The Brookings Institution, Washington, D.C.",1619,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,1,0,4
24_12,Governor Lael Brainard,2014-12-03,https://www.federalreserve.gov/newsevents/speech/brainard20141203a.htm,"At the Hutchins Center on Fiscal and Monetary Policy, The Brookings Institution, Washington, D.C.",4325,1,1,0,0,3,10,9,0,0,8,18,0,1,2,0,0,0,6,3,1,2
24_13,Governor Lael Brainard,2014-12-02,https://www.federalreserve.gov/newsevents/speech/brainard20141202a.htm,"At the Economic Growth and Regulatory Paperwork Reduction Act Outreach Meeting, Los Angeles, California",703,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,3
24_14,Governor Daniel K. Tarullo,2014-11-20,https://www.federalreserve.gov/newsevents/speech/tarullo20141120a.htm,"At the Clearing House 2014 Annual Conference, New York, New York",6446,1,1,0,0,0,0,0,0,1,16,12,0,3,0,4,0,0,0,6,0,2
24_15,Governor Jerome H. Powell,2014-11-14,https://www.federalreserve.gov/newsevents/speech/powell20141114a.htm,"At the Global Research Forum on International Macroeconomics and Finance, Washington, D.C.",1682,0,0,0,0,0,1,0,0,0,7,12,0,2,0,0,0,0,0,1,0,8
24_16,Governor Daniel K. Tarullo,2014-11-07,https://www.federalreserve.gov/newsevents/speech/tarullo20141107a.htm,"At the Community Bankers Symposium, Chicago, Illinois",4909,1,8,0,0,0,1,0,0,0,7,6,1,3,0,0,0,0,0,5,1,1
24_17,Chair Janet L. Yellen,2014-11-07,https://www.federalreserve.gov/newsevents/speech/yellen20141107a.htm,"At the ""Central Banking: The Way Forward?"", International Symposium of the Banque de France, Paris, France",1457,3,0,0,0,2,5,1,0,0,11,11,0,1,0,0,1,0,1,2,0,4
24_18,Governor Jerome H. Powell,2014-11-06,https://www.federalreserve.gov/newsevents/speech/powell20141106a.htm,"At the ""The New International Financial System: Analyzing the Cumulative Impact of Regulatory Reform"", 17th Annual International Banking Conference, Chicago, Illinois",3575,0,1,3,0,0,0,0,0,0,11,13,0,1,0,0,0,0,0,1,3,3
24_19,Chair Janet L. Yellen,2014-10-30,https://www.federalreserve.gov/newsevents/speech/yellen20141030a.htm,"At the National Summit on Diversity in the Economics Profession, Washington, D.C.",969,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
24_20,Governor Daniel K. Tarullo,2014-10-20,https://www.federalreserve.gov/monetarypolicy.htm,"At the Federal Reserve Bank of New York Conference, ""Reforming Culture and Behavior in the Financial Services Industry"", New York, New York",,,,,,,,,,,,,,,,,,,,,,
25_1,Governor Jerome H. Powell,2014-10-20,https://www.federalreserve.gov/newsevents/speech/powell20141020a.htm,"At the Webinar on Community Banking, Washington, D.C.",473,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
25_2,Chair Janet L. Yellen,2014-10-17,https://www.federalreserve.gov/newsevents/speech/yellen20141017a.htm,"At the Conference on Economic Opportunity and Inequality, Federal Reserve Bank of Boston, Boston, Massachusetts",6791,9,0,0,0,10,3,0,3,0,2,16,0,1,0,0,0,0,5,3,5,0
25_3,Vice Chairman Stanley Fischer,2014-10-11,https://www.federalreserve.gov/newsevents/speech/fischer20141011a.htm,"At the Per Jacobsson Foundation Lecture, 2014 Annual Meetings of the International Monetary Fund and the World Bank Group, Washington, D.C.",6415,9,0,0,0,1,3,0,0,1,13,52,1,12,3,1,3,0,1,2,0,20
25_4,Governor Jerome H. Powell,2014-09-30,https://www.federalreserve.gov/newsevents/speech/powell20140930a.htm,"At the Panel Discussion on ""Debt Management in an Era of Quantitative Easing: What Should the Treasury and the Fed Do?"", Washington, D.C.",821,0,0,0,0,0,1,0,0,0,4,4,0,2,0,0,0,0,0,2,3,1
25_5,Governor Jerome H. Powell,2014-09-23,https://www.federalreserve.gov/newsevents/speech/powell20140923a.htm,"At the Federal Reserve/Conference of State Bank Supervisors Community Banking Research Conference, St. Louis, Missouri",1288,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3
25_6,Chair Janet L. Yellen,2014-09-18,https://www.federalreserve.gov/newsevents/speech/yellen20140918a.htm,"At the 2014 Assets Learning Conference of the Corporation for Enterprise Development, Washington, D.C. (via prerecorded video)",667,0,0,0,0,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
25_7,Governor Jerome H. Powell,2014-09-04,https://www.federalreserve.gov/newsevents/speech/powell20140904a.htm,"At the Money Marketeers of New York University, New York, New York",3456,0,0,0,0,0,0,0,0,0,3,67,1,0,0,0,0,0,0,2,0,16
25_8,Chair Janet L. Yellen,2014-08-22,https://www.federalreserve.gov/newsevents/speech/yellen20140822a.htm,"At the Federal Reserve Bank of Kansas City Economic Symposium, Jackson Hole, Wyoming",5518,38,3,0,0,32,48,21,33,0,1,40,0,0,3,1,1,5,3,3,106,1
25_9,Vice Chairman Stanley Fischer,2014-08-11,https://www.federalreserve.gov/newsevents/speech/fischer20140811a.htm,"At the ""The Great Recession--Moving Ahead,"" a Conference Sponsored by the Swedish Ministry of Finance, Stockholm, Sweden",5568,10,3,1,0,28,7,1,1,3,28,36,1,2,0,2,14,0,3,5,11,12
25_10,Vice Chairman Stanley Fischer,2014-07-10,https://www.federalreserve.gov/newsevents/speech/fischer20140710a.htm,"At the Martin Feldstein Lecture, National Bureau of Economic Research, Cambridge, Massachusetts",6729,4,0,1,0,9,1,0,1,0,24,27,2,3,0,1,0,1,3,1,0,17
25_11,Chair Janet L. Yellen,2014-07-02,https://www.federalreserve.gov/newsevents/speech/yellen20140702a.htm,"At the 2014 Michel Camdessus Central Banking Lecture, International Monetary Fund, Washington, D.C.",4879,9,0,0,0,0,15,4,0,4,12,30,1,1,2,2,2,0,2,12,4,15
25_12,Governor Daniel K. Tarullo,2014-06-25,https://www.federalreserve.gov/newsevents/speech/tarullo20140625a.htm,"At the Federal Reserve Third Annual Stress Test Modeling Symposium, Boston, Massachusetts",4496,0,4,0,0,4,0,0,0,0,6,13,0,2,0,0,0,0,1,4,0,1
25_13,Governor Daniel K. Tarullo,2014-06-09,https://www.federalreserve.gov/newsevents/speech/tarullo20140609a.htm,"At the Association of American Law Schools 2014 Midyear Meeting, Washington, D.C.",5613,0,3,1,0,0,0,0,0,0,12,67,0,0,0,0,0,0,1,3,5,22
25_14,Governor Jerome H. Powell,2014-06-06,https://www.federalreserve.gov/newsevents/speech/powell20140606a.htm,"At the 2014 Spring Membership Meeting, Institute for International Finance, London, United Kingdom",990,7,8,0,0,0,5,3,0,0,1,19,0,1,0,0,0,0,0,0,2,2
25_15,Chair Janet L. Yellen,2014-05-21,https://www.federalreserve.gov/newsevents/speech/yellen20140521a.htm,"At New York University's 2014 Commencement, New York, New York",943,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0
25_16,Chair Janet L. Yellen,2014-05-15,https://www.federalreserve.gov/newsevents/speech/yellen20140515a.htm,"At the National Small Business Week Event, U.S. Chamber of Commerce, Washington, D.C.",535,0,0,0,0,1,6,0,0,0,3,3,0,0,0,0,0,0,0,0,2,1
25_17,Governor Daniel K. Tarullo,2014-05-08,https://www.federalreserve.gov/newsevents/speech/tarullo20140508a.htm,"At the Federal Reserve Bank of Chicago Bank Structure Conference, Chicago, Illinois",4917,0,2,0,0,0,0,0,0,0,13,9,1,4,0,0,0,0,1,7,2,1
25_18,Governor Jeremy C. Stein,2014-05-06,https://www.federalreserve.gov/newsevents/speech/stein20140506a.htm,"At the Money Marketeers of New York University, New York, New York",3689,4,10,0,1,0,4,3,0,0,0,27,0,1,2,2,0,0,1,0,1,4
25_19,Chair Janet L. Yellen,2014-05-01,https://www.federalreserve.gov/newsevents/speech/yellen20140501a.htm,"At the Independent Community Bankers of America 2014 Washington Policy Summit, Washington, D.C.",3182,0,7,0,0,1,0,0,0,0,6,2,0,1,0,0,0,0,0,6,0,4
25_20,Chair Janet L. Yellen,2014-04-16,https://www.federalreserve.gov/newsevents/speeches.htm,"At the Economic Club of New York, New York, New York",,,,,,,,,,,,,,,,,,,,,,
26_1,Chair Janet L. Yellen,2014-04-15,https://www.federalreserve.gov/newsevents/speech/yellen20140415a.htm,"At the Federal Reserve Bank of Atlanta's 2014 Financial Markets Conference, Atlanta, Georgia (via prerecorded video)",976,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0
26_2,Governor Daniel K. Tarullo,2014-04-09,https://www.federalreserve.gov/newsevents/speech/tarullo20140409a.htm,"At the 23rd Annual Hyman P. Minsky Conference: Stabilizing Financial Systems for Growth and Full Employment, Washington, D.C.",5144,5,2,0,1,7,18,4,15,0,4,22,1,4,1,2,1,1,4,3,29,1
26_3,Chair Janet L. Yellen,2014-03-31,https://www.federalreserve.gov/newsevents/speech/yellen20140331a.htm,"At the 2014 National Interagency Community Reinvestment Conference, Chicago, Illinois",4057,8,0,0,0,25,33,25,7,0,3,26,1,2,0,0,0,2,0,2,25,5
26_4,Governor Daniel K. Tarullo,2014-03-27,https://www.federalreserve.gov/newsevents/speech/tarullo20140327a.htm,"At the Harvard Law School Symposium on Building the Financial System of the Twenty-first Century: An Agenda for Europe and the United States, Armonk, New York",6296,0,1,1,0,0,0,0,0,1,24,14,0,0,0,2,0,0,1,0,2,3
26_5,Chair Janet L. Yellen,2014-03-25,https://www.federalreserve.gov/newsevents/speech/yellen20140325a.htm,"At the Women’s History Month Reception, U.S. Capitol, Washington, D.C.",554,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
26_6,Governor Jeremy C. Stein,2014-03-24,https://www.federalreserve.gov/newsevents/speech/stein20140324a.htm,"At the Crowdfunding for Community Development Finance Conference, Washington, D.C.",836,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
26_7,Governor Jeremy C. Stein,2014-03-21,https://www.federalreserve.gov/newsevents/speech/stein20140321a.htm,"At the International Research Forum on Monetary Policy, Washington, D.C.",5513,3,0,1,0,1,25,19,0,0,1,29,12,2,0,0,0,0,1,3,1,6
26_8,Chair Janet L. Yellen,2014-03-05,https://www.federalreserve.gov/newsevents/speech/yellen20140305a.htm,"At the Federal Reserve Board, Washington, D.C.",826,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,1,0,3
26_9,Governor Jeremy C. Stein,2014-02-28,https://www.federalreserve.gov/newsevents/speech/stein20140228a.htm,"At the 2014 U.S. Monetary Policy Forum, New York, New York",2934,0,0,0,0,0,0,0,0,0,1,18,6,2,1,0,0,1,0,3,0,3
26_10,Governor Daniel K. Tarullo,2014-02-25,https://www.federalreserve.gov/newsevents/speech/tarullo20140225a.htm,"At the 30th Annual National Association for Business Economics Economic Policy Conference, Arlington, Virginia",5339,4,4,0,0,2,6,3,0,3,12,57,1,3,1,0,1,0,2,9,4,27
